timestamp, relative_time, heart_rate
1442312819181, 0, 55
1442312819401, 220, 55
1442312819920, 739, 56
1442312820998, 1817, 56
1442312821367, 2186, 54
1442312821701, 2520, 55
1442312822713, 3532, 56
1442312823198, 4017, 55
1442312823696, 4515, 55
1442312824962, 5781, 56
1442312825488, 6307, 56
1442312825705, 6524, 54
1442312827024, 7843, 56
1442312827581, 8400, 54
1442312828781, 9600, 54
1442312829392, 10211, 56
1442312830469, 11288, 55
1442312830612, 11431, 55
1442312831129, 11948, 56
1442312832251, 13070, 56
1442312832793, 13612, 57
1442312833585, 14404, 57
1442312833924, 14743, 57
1442312834522, 15341, 56
1442312834634, 15453, 58
1442312835749, 16568, 58
1442312836308, 17127, 61
1442312837399, 18218, 61
1442312837946, 18765, 60
1442312839283, 20102, 60
1442312839830, 20649, 60
1442312841143, 21962, 60
1442312841775, 22594, 58
1442312842802, 23621, 59
1442312843177, 23996, 59
1442312843716, 24535, 59
1442312844981, 25800, 63
1442312845659, 26478, 64
1442312846856, 27675, 64
1442312847464, 28283, 64
1442312848714, 29533, 63
1442312849064, 29883, 62
1442312849503, 30322, 62
1442312850842, 31661, 61
1442312851431, 32250, 61
1442312852734, 33553, 63
1442312853844, 34663, 63
1442312854731, 35550, 65
1442312855383, 36202, 63
1442312856745, 37564, 61
1442312857071, 37890, 62
1442312857419, 38238, 61
1442312858440, 39259, 61
1442312859040, 39859, 60
1442312859807, 40626, 63
1442312859871, 40690, 63
1442312859976, 40795, 64
1442312860034, 40853, 66
1442312860116, 40935, 65
1442312860210, 41029, 69
1442312860297, 41116, 72
1442312860414, 41233, 72
1442312860480, 41299, 72
1442312860551, 41370, 69
1442312860621, 41440, 66
1442312860693, 41512, 65
1442312860752, 41571, 68
1442312860829, 41648, 72
1442312860888, 41707, 69
1442312860961, 41780, 63
1442312861033, 41852, 59
1442312861083, 41902, 58
1442312861148, 41967, 55
1442312861202, 42021, 55
1442312861296, 42115, 55
1442312861605, 42424, 55
1442312861758, 42577, 54
1442312861941, 42760, 54
1442312862186, 43005, 53
1442312862314, 43133, 58
1442312862482, 43301, 60
1442312862600, 43419, 61
1442312862702, 43521, 57
1442312862761, 43580, 56
1442312862951, 43770, 57
1442312863066, 43885, 55
1442312863235, 44054, 53
1442312863426, 44245, 54
1442312863570, 44389, 54
1442312863662, 44481, 56
1442312863794, 44613, 56
1442312863890, 44709, 55
1442312864671, 45490, 55
1442312865074, 45893, 57
1442312865227, 46046, 55
1442312865409, 46228, 54
1442312865479, 46298, 54
1442312865592, 46411, 52
1442312865675, 46494, 54
1442312865761, 46580, 53
1442312865803, 46622, 53
1442312865856, 46675, 53
1442312865946, 46765, 53
1442312865989, 46808, 56
1442312866072, 46891, 55
1442312866164, 46983, 54
1442312866258, 47077, 55
1442312866339, 47158, 58
1442312866416, 47235, 60
1442312866517, 47336, 58
1442312866582, 47401, 56
1442312866669, 47488, 57
1442312866739, 47558, 55
1442312866841, 47660, 55
1442312866896, 47715, 58
1442312866981, 47800, 56
1442312867083, 47902, 56
1442312867149, 47968, 56
1442312867355, 48174, 56
1442312867439, 48258, 56
1442312867440, 48259, 58
1442312867605, 48424, 56
1442312867621, 48440, 57
1442312867736, 48555, 57
1442312867811, 48630, 57
1442312867913, 48732, 59
1442312868007, 48826, 57
1442312868213, 49032, 56
1442312868341, 49160, 55
1442312868481, 49300, 56
1442312868784, 49603, 56
1442312868902, 49721, 57
1442312870907, 51726, 58
1442312873000, 53819, 58
1442312878551, 59370, 57
1442312878916, 59735, 58
1442312879385, 60204, 57
1442312880551, 61370, 60
1442312881228, 62047, 59
1442312882188, 63007, 60
1442312882727, 63546, 59
1442312883410, 64229, 58
1442312884329, 65148, 59
1442312884783, 65602, 61
1442312885298, 66117, 63
1442312885628, 66447, 64
1442312885952, 66771, 62
1442312886381, 67200, 61
1442312887803, 68622, 62
1442312887887, 68706, 68
1442312888010, 68829, 69
1442312888111, 68930, 68
1442312888193, 69012, 64
1442312888291, 69110, 61
1442312888450, 69269, 60
1442312888570, 69389, 60
1442312888647, 69466, 58
1442312889026, 69845, 57
1442312889138, 69957, 55
1442312889786, 70605, 55
1442312890778, 71597, 56
1442312891861, 72680, 56
1442312892778, 73597, 58
1442312893776, 74595, 56
1442312894769, 75588, 54
1442312895768, 76587, 54
1442312896766, 77585, 57
1442312897761, 78580, 54
1442312899254, 80073, 52
1442312903779, 84598, 53
1442312904175, 84994, 52
1442312906890, 87709, 54
1442312913887, 94706, 55
1442312915274, 96093, 58
1442312917120, 97939, 57
1442312918173, 98992, 57
1442312923691, 104510, 54
1442312924905, 105724, 55
1442312925416, 106235, 55
1442312928345, 109164, 54
1442312928599, 109418, 55
1442312933892, 114711, 54
1442312941987, 122806, 54
1442312946860, 127679, 56
1442312946969, 127788, 58
1442312954785, 135604, 59
1442312957164, 137983, 59
1442312958615, 139434, 58
1442312958769, 139588, 58
1442312959506, 140325, 58
1442312959678, 140497, 57
1442312961013, 141832, 59
1442312961719, 142538, 59
1442312962966, 143785, 59
1442312963389, 144208, 63
1442312964010, 144829, 65
1442312964134, 144953, 64
1442312965209, 146028, 65
1442312965801, 146620, 65
1442312965895, 146714, 62
1442312966949, 147768, 60
